line_id,ko,en,ja,,
OPENING_OFFICE_START_001,최근 외곽 지역을 중심으로 노숙자 실종 신고가 잇따르고 있습니다. 경찰은 단순 이동 가능성도 배제하지 않고 있으나...,"Recently, there has been a series of missing person reports involving homeless individuals, primarily in the outskirts. The police are not ruling out the possibility that they have simply relocated, but...",,,
OPENING_OFFICE_START_002,요새 흉흉하네요. 이럴 때일수록 우리 일거리는 늘어서 좋지만 말이에요.,"Things are pretty grim lately. But hey, times like these mean more work for us.",,,
OPENING_OFFICE_START_003,남들이 실종된다는데 그게 할 소리냐?,"People are going missing, and that's what you have to say?",,,
OPENING_OFFICE_START_004,"사건이 없으면 탐정이고 경찰이고 무슨 소용이에요? 지금까지 한 일이라곤 고양이 찾아주기, 바람난 남편 뒤쫓기, 잃어버린 반지 찾기였잖아요.","What good is a detective or the police without a case? All you've done so far is find lost cats, tail cheating husbands, and track down missing rings.",,,
OPENING_OFFICE_START_005,그 반지는 하수구에서 찾았다. 내 직업적 존엄성도 같이 빠져 있었고.,I found that ring in a sewer. My professional dignity was down there right along with it.,,,
OPENING_OFFICE_START_006,셜록 홈즈도 처음부터 대단한 사건만 맡은 건 아니에요. 이를테면 주홍색 연구에서...,"Sherlock Holmes didn't start out with huge cases either. For instance, in A Study in Scarlet...",,,
OPENING_OFFICE_START_007,멈춰. 전화 온다.,Stop. The phone's ringing.,,,
OPENING_OFFICE_START_008,전화벨이 울린다. 주인공은 귀찮다는 듯 수화기를 든다.,"The phone rings. The protagonist picks up the receiver, looking annoyed.",,,
OPENING_OFFICE_START_009,"네, 탐정 사무소입니다. 고양이면 끊으세요.","Yes, this is the detective agency. If it's about a cat, hang up.",,,
OPENING_OFFICE_START_010,산속에 있는 저택을 조사해주셨으면 합니다.,I'd like you to investigate a mansion in the mountains.,,,
OPENING_OFFICE_START_011,지도에도 없는 저택이라면 대체로 사유지입니다. 전직 경찰로서 불법 침입 의뢰는 안 받습니다.,"A mansion that isn't even on the map is usually private property. As a former cop, I don't take on trespassing jobs.",,,
OPENING_OFFICE_START_012,선금은 두 배로 드리죠.,I'll double the advance payment.,,,
OPENING_OFFICE_START_013,"...방금 금액, 원화 맞습니까? 0 하나 더 붙이신 거 아니고요?","...That amount you just mentioned, is that in Won? You didn't accidentally add an extra zero, did you?",,,
OPENING_OFFICE_START_014,"통화가 끝난 뒤, 조수가 메모지를 들여다본다.","After the call, the assistant peeks at the notepad.",,,
OPENING_OFFICE_START_015,히익. 무슨 의뢰인데 돈을 이렇게 줘요?,Yikes. What kind of job pays this much?,,,
OPENING_OFFICE_START_016,사람 없는 저택 조사.,Investigating an abandoned mansion.,,,
OPENING_OFFICE_START_017,"아, 거기요? 귀신 나온다는 데 아니에요? 물론 전 귀신 같은 건 안 믿지만요. 그런데 그 저택, 예전에 봉사 단체 사람들이 썼다고 들었어요. 변론하는 자였나?","Oh, that place? Isn't it supposed to be haunted? Not that I believe in ghosts, of course. But I heard that mansion used to be used by a volunteer group. 'The Advocates', was it?",,,
OPENING_OFFICE_START_018,변론하는 자?,The Advocates'?,,,
OPENING_OFFICE_START_019,"노숙자들 돕고, 기부하고, 기사도 꽤 났던 곳이요. 이름은 좀 이상하지만 좋은 사람들 같던데요?","They helped the homeless, made donations, and got quite a bit of press. The name's a bit weird, but they seemed like good people.",,,
OPENING_OFFICE_START_020,요새 노숙자 실종 사건이 늘었다고 했지.,You mentioned earlier that missing person cases involving the homeless have been on the rise lately.,,,
OPENING_OFFICE_START_021,설마요?,You don't think...?,,,
OPENING_OFFICE_START_022,"늘 하던 대로 해. 네가 먼저 사전 답사하고, 주변 소문이랑 출입 가능 경로만 확인해.","Do what you always do. Scout the place first, gather some local rumors, and figure out the access routes.",,,
OPENING_OFFICE_START_023,넵. 금방 갔다 올게요.,Got it. I'll be back soon.,,,
OPENING_OFFICE_START_024,"조수는 돌아오지 않는다. 하루, 사흘, 일주일이 지난다. 연락은 끊기고, 주인공의 손에는 조수가 남긴 메모만 남는다.","The assistant does not return. A day passes, then three, then a week. All contact is lost, leaving the protagonist with only the memo the assistant left behind.",,,
OPENING_OFFICE_START_025,일주일... 길어도 사흘이면 돌아오던 녀석이.,A week... He usually comes back in three days at most.,,,
OPENING_OFFICE_START_026,"주인공은 과거 동료를 잃었던 순간을 떠올린다. 총성, 인질, 자신의 망설임, 그리고 쓰러진 동료.","The protagonist recalls the moment he lost his former partner. Gunshots, hostages, his own hesitation, and his partner falling to the ground.",,,
OPENING_OFFICE_START_027,또 잃을 순 없어. 이번에도 가만히 있으면... 이번엔 진짜 끝이야.,"I can't lose someone again. If I just sit here and do nothing... this time, it's really over.",,,
OPENING_OFFICE_START_028,주인공은 코트를 집어 들고 저택으로 향한다.,The protagonist grabs his coat and heads to the mansion.,,,
MANSION_ENTRY_START_002,주인공은 조수의 마지막 메모를 다시 접어 주머니에 넣는다.,He folds the assistant's last memo and slips it into his pocket.,,,
MANSION_ENTRY_START_003,기다려라. 이번엔 내가 늦지 않을 테니까.,Just wait. I won't be late this time.,,,
MANSION_ENTRY_START_004,현관문은 너무 쉽게 열린다.,The front door opens far too easily.,,,
MANSION_ENTRY_START_005,문이 열린다? 이건 친절이 아니라 함정이지.,It's unlocked? That's not hospitality... that's a trap.,,,
