assetPath,kind,buildEnabled,flowcharts,blockCount,commandCount,variableKeys,loadTargets,inputModes,disposition,state,fungusComponentCount
Assets/2D Pixel Quest Vol.3 - The UI-GUI/Scenes/DemoScene 1.unity,scene,False,0,0,0,,,ui-eventsystem,keep,planned,0
Assets/Assets/Scenes/ProgressBar and Sliders.unity,scene,False,0,0,0,,,ui-eventsystem,keep,planned,0
Assets/FungusExamples/Collection/CollectionLoop.unity,scene,False,1,4,26,bag_item|float_item|looprange|while,,ui-eventsystem,retire-pending,planned,42
Assets/FungusExamples/Collection/CollectionPhysics.unity,scene,False,2,2,14,forwardOffset|mouseDir|mousePos|selfTrans|tempGO|tempGOTag|worldMousePos,,,retire-pending,planned,29
Assets/FungusExamples/Conditions/MultipleConditionsExample.unity,scene,False,1,2,12,A|B|C|bar|boolx|booly|foo,,,retire-pending,planned,24
Assets/FungusExamples/Conversation/Conversation.unity,scene,False,1,1,4,,,,retire-pending,planned,11
Assets/FungusExamples/Conversation/CustomSayDialogs.unity,scene,False,1,1,1,,,ui-button,retire-pending,planned,16
Assets/FungusExamples/Conversation/NarrativeEntryLogTest.unity,scene,False,1,1,11,,,ui-eventsystem,retire-pending,planned,21
Assets/FungusExamples/Conversation/NarrativeLogSimple.unity,scene,False,1,1,1,,,ui-eventsystem,retire-pending,planned,6
Assets/FungusExamples/Conversation/NarrativeLogWithSave.unity,scene,False,1,1,12,,,ui-button|ui-eventsystem,retire-pending,planned,24
Assets/FungusExamples/DragAndDrop/DragandDrop(DraggableObjectLists).unity,scene,False,1,5,5,GameObject|Target,,drag-drop|physics2d-collider,retire-pending,planned,22
Assets/FungusExamples/DragAndDrop/DragAndDrop(EventSystem).unity,scene,False,1,8,13,,,drag-drop|legacy-clickable2d|ui-button|ui-eventsystem,retire-pending,planned,35
Assets/FungusExamples/DragAndDrop/DragAndDrop.unity,scene,False,1,8,13,,,drag-drop|legacy-clickable2d|ui-button|ui-eventsystem,retire-pending,planned,35
Assets/FungusExamples/EnterName/EnterName.unity,scene,False,1,3,11,PlayerName,,ui-button|ui-eventsystem,retire-pending,planned,21
Assets/FungusExamples/FirstPerson/FirstPersonDemo.unity,scene,False,3,5,18,,,ui-eventsystem,retire-pending,planned,39
Assets/FungusExamples/FungusLua/Bindings/CustomScriptExample.unity,scene,False,0,0,0,,,,retire-pending,planned,8
Assets/FungusExamples/FungusLua/Bindings/SpawnPrefab.unity,scene,False,0,0,0,,,,retire-pending,planned,7
Assets/FungusExamples/FungusLua/Flowchart/Blocks.unity,scene,False,1,2,2,,,ui-eventsystem,retire-pending,planned,12
Assets/FungusExamples/FungusLua/Flowchart/ExecuteLua.unity,scene,False,1,1,6,HasRock|Result|Score,,ui-eventsystem,retire-pending,planned,15
Assets/FungusExamples/FungusLua/Flowchart/Variables.unity,scene,False,1,1,2,ChangeName|MyName,,ui-eventsystem,retire-pending,planned,14
Assets/FungusExamples/FungusLua/HelloWorld/HelloWorld.unity,scene,False,0,0,0,,,ui-eventsystem,retire-pending,planned,7
Assets/FungusExamples/FungusLua/Localization/Localization.unity,scene,False,1,1,1,,,ui-eventsystem,retire-pending,planned,11
Assets/FungusExamples/FungusLua/Narrative/JungleStory.unity,scene,False,1,3,4,,,ui-eventsystem,retire-pending,planned,19
Assets/FungusExamples/FungusLua/Narrative/NarrativeExample.unity,scene,False,0,0,0,,,ui-button|ui-eventsystem,retire-pending,planned,12
