session_id,anonymous_player_id,scene_name,puzzle_id,event_time,event_type,user_message,bot_response,hint_level,progress_state,time_since_scene_start,attempt_count,wrong_action_count,repeated_question_count,solved
sess-a,anon-player-1,Kitchen,Kitchen,2026-06-16T10:00:00.0000000+00:00,scene_enter,,,,room=GlobalChatbot,0,0,0,0,false
sess-a,anon-player-1,Kitchen,Kitchen,2026-06-16T10:01:00.0000000+00:00,cheshire_user_message,물병은 어디?,,,room=GlobalChatbot,60,1,0,1,false
sess-a,anon-player-1,Kitchen,Kitchen,2026-06-16T10:01:30.0000000+00:00,cheshire_bot_response,,병은 부엌 근처,,room=GlobalChatbot,90,1,0,1,false
sess-a,anon-player-1,Kitchen,Kitchen,2026-06-16T10:02:00.0000000+00:00,give_hint,,,moderate,room=GlobalChatbot,120,1,0,1,false
sess-a,anon-player-1,Kitchen,Kitchen,2026-06-16T10:03:00.0000000+00:00,wrong_action,,,,room=GlobalChatbot,180,1,1,1,false
sess-a,anon-player-1,Kitchen,Kitchen,2026-06-16T10:05:00.0000000+00:00,cheshire_user_message,물병은 어디?,,,room=GlobalChatbot,300,2,1,2,false
sess-a,anon-player-1,Kitchen,Kitchen,2026-06-16T10:08:00.0000000+00:00,puzzle_solved,,,,room=GlobalChatbot,480,2,1,2,true
sess-b,anon-player-2,Kitchen,Kitchen,2026-06-16T11:00:00.0000000+00:00,scene_enter,,,,room=GlobalChatbot,0,0,0,0,false
sess-b,anon-player-2,Kitchen,Kitchen,2026-06-16T11:02:00.0000000+00:00,cheshire_user_message,힌트 주세요,,,room=GlobalChatbot,120,1,0,1,false
sess-b,anon-player-2,Kitchen,Kitchen,2026-06-16T11:04:00.0000000+00:00,give_hint,,,subtle,room=GlobalChatbot,240,1,0,1,false
sess-b,anon-player-2,Kitchen,Kitchen,2026-06-16T11:06:00.0000000+00:00,give_hint,,,moderate,room=GlobalChatbot,360,1,0,1,false
sess-b,anon-player-2,Kitchen,Kitchen,2026-06-16T11:10:00.0000000+00:00,wrong_action,,,,room=GlobalChatbot,600,1,2,1,false
sess-b,anon-player-2,Kitchen,Kitchen,2026-06-16T11:20:00.0000000+00:00,cheshire_user_message,다른 방법은?,,,room=GlobalChatbot,1200,2,2,1,false
sess-c,anon-player-3,StudyRoom,StudyRoom,2026-06-16T12:00:00.0000000+00:00,scene_enter,,,,room=TutorChatbot,0,0,0,0,false
sess-c,anon-player-3,StudyRoom,StudyRoom,2026-06-16T12:01:00.0000000+00:00,cheshire_user_message,책장 코드,,,room=TutorChatbot,60,1,0,1,false
sess-c,anon-player-3,StudyRoom,StudyRoom,2026-06-16T12:03:00.0000000+00:00,puzzle_solved,,,,room=TutorChatbot,180,1,0,1,true
