question_id,question_ko,question_en,acceptable_answers,reference_snippet_ko,reference_snippet_en,difficulty,tags
Q001,십자가에 달리신 분은?,Who was crucified?,"예수|예수님|그리스도주 예수,Jesus",십자가와 빈자리를 떠올려 보세요.,Think of the cross and the empty space.,1,gospel
Q002,다윗이 이긴 거인 이름은?,What is the name of the giant David defeated?,"골리앗|골리앗을,Goliath",물맷돌과 거인을 떠올려 보세요.,Think of the slingshot and the giant.,1,ot
Q003,이스라엘을 애굽에서 이끈 인물은?,Who led Israel out of Egypt?,"모세|모세가,Moses",홍해를 떠올려 보세요.,Think of Moses parting the Red Sea.,1,ot
Q004,잃어버린 것을 찾는 비유에 나온 동물은?,What animal is in the parable about finding the lost?,"양|잃은 양한 마리 양,Sheep",목자가 잃은 하나를 찾아 나선 비유를 떠올려 보세요.,It is a parable about a shepherd finding the lost one.,2,parable
Q005,부활 후 제자들이 만난 빈 장소는?,Where did the disciples find the place empty after resurrection?,"무덤|빈 무덤|무덤이 비었,Tomb",돌문이 열리고 빈자리가 남은 장소를 떠올려 보세요.,"The tomb was empty, with the door open and an empty space left.",2,gospel
Q006,하나님이 세상을 창조하실 때 첫째 날 만드신 것은?,Who created the light?,"빛|빛이,Light",어둠과 빛을 나누는 장면을 떠올려 보세요.,Think of the first day of God's creation.,1,ot
Q007,방주를 만든 인물은?,Who was on Noah's Ark?,"노아|노아 할아버지,Noah",거대한 배와 비를 떠올려 보세요.,Think of Noah and his family.,1,ot
Q008,믿음의 조상이라 불리는 인물은?,Who is the father of faith?,"아브라함|아브라함이,Abraham",별을 보여주신 약속을 떠올려 보세요.,Think of the person who obeyed God.,1,ot
Q009,아브라함이 100세에 얻은 아들은?,Which son did Abraham offer?,"이삭|이삭이,Isaac",웃음이라는 뜻의 이름을 떠올려 보세요.,Think of the symbol of obedience to God.,1,ot
Q010,야곱이 형을 피해 도망치다 꿈에서 본 것은?,Who dreamed of a ladder?,"사다리|꿈속 사다리,Jacob's Ladder",천사가 오르내리는 모습을 떠올려 보세요.,Think of the ladder reaching up to heaven.,2,ot
Q011,요셉의 아버지는 누구인가요?,Who was sold by his brothers?,"야곱|야곱이,Jacob",채색옷을 입었던 아들을 떠올려 보세요.,Think of Jacob's suffering.,1,ot
Q012,애굽의 총리가 된 인물은?,Who was the Prime Minister who interpreted dreams?,"요셉|요셉이,Joseph",꿈을 해석하는 장면을 떠올려 보세요.,Think of the Prime Minister of Egypt.,1,ot
Q013,모세가 십계명을 받은 산은?,Where were the Ten Commandments received?,"시내산|시내산에서,Mount Sinai",십계명 돌판을 떠올려 보세요.,Think of the law engraved on stone tablets.,1,ot
Q014,광야에서 먹은 하늘의 양식은?,What food was eaten in the wilderness?,"만나|만나가,Manna",매일 아침 땅에 내린 음식을 떠올려 보세요.,Think of the bread from heaven.,1,ot
Q015,여리고성을 무너뜨린 지도자는?,Who was the leader who conquered Jericho?,"여호수아|여호수아가,Joshua",일곱 번 성을 돈 장면을 떠올려 보세요.,Think of the trumpet sound and the walls.,2,ot
Q016,힘이 센 사사의 이름은?,Who was the person whose strength was in their hair?,"삼손|삼손이,Samson",긴 머리카락과 기둥을 떠올려 보세요.,Think of Delilah and Samson.,1,ot
Q017,나오미의 며느리이자 다윗의 증조할머니는?,Who was the daughter-in-law who served her mother-in-law?,"룻|룻이,Ruth",이삭을 줍는 모습을 떠올려 보세요.,Think of Naomi and Ruth.,2,ot
Q018,어머니 한나의 기도로 태어난 선지자는?,Who was the prophet who anointed the king?,"사무엘|사무엘이,Samuel",성전에서 부름받은 어린아이를 떠올려 보세요.,Think of the anointing of David.,2,ot
Q019,이스라엘의 초대 왕은?,Who was the first king of Israel?,"사울|사울 왕,Saul",기름 부음 받은 왕을 떠올려 보세요.,Think of Saul's reign.,1,ot
Q020,다윗이 왕이 되기 전 직업은?,What was David's job?,"목자|양을 치던,Shepherd",양을 돌보는 모습을 떠올려 보세요.,Think of the field where he cared for sheep.,1,ot
Q021,성전을 건축한 지혜의 왕은?,Which king asked for wisdom?,"솔로몬|솔로몬이,Solomon",하나님께 지혜를 구하는 모습을 떠올려 보세요.,Think of the judgment and wisdom.,1,ot
Q022,불 수레를 타고 승천한 선지자는?,Who went to heaven in a chariot of fire?,"엘리야|엘리야가,Elijah",회오리바람을 떠올려 보세요.,Think of the chariot going up to heaven.,3,ot
Q023,사자굴에서 살아남은 선지자는?,Who was thrown into the lions' den?,"다니엘|다니엘이,Daniel",기도하는 모습을 떠올려 보세요.,Think of the person who did not stop praying.,2,ot
Q024,물고기 뱃속에서 3일 보낸 선지자는?,Who was trapped in the belly of a fish?,"요나|요나가,Jonah",니느웨로 향하던 배를 떠올려 보세요.,Think of the fish going to Nineveh.,2,ot
Q025,성벽 재건의 지도자는?,Who was the leader who rebuilt the wall?,"느헤미야|느헤미야가,Nehemiah",성벽을 다시 쌓는 장면을 떠올려 보세요.,Think of the walls of Jerusalem.,3,ot
Q026,예수님이 탄생하신 동네는?,What village was Jesus born in?,"베들레헴|베들레헴에서,Bethlehem",말구유를 떠올려 보세요.,Think of the place guided by the star.,1,gospel
Q027,예수님이 세례받은 강은?,What river was Jesus baptized in?,"요단강|요단강에서,Jordan River",세례 요한을 떠올려 보세요.,Think of him coming out of the water.,2,gospel
Q028,예수님이 행하신 첫 기적은?,What was the miracle at the Cana wedding?,"물로 포도주|포도주를 만듦,Water into wine",혼인 잔치를 떠올려 보세요.,Think of the change in the jars.,2,gospel
Q029,보리떡 5개와 물고기 2마리로 먹인 인원은?,How many people were fed by the miracle?,"5000명|오천 명,5000",어린아이의 도시락을 떠올려 보세요.,Think of the miracle in the wilderness.,2,gospel
Q030,물 위를 걸으신 분은?,Who is the Son of God?,"예수님|예수님이,Jesus",바다에서 제자들을 구하는 모습을 떠올려 보세요.,Think of the Savior.,2,gospel
Q031,죽었다가 다시 살아난 나사로의 누나는?,Which sisters were friends of Jesus?,"마르다와 마리아|마르다,Martha and Mary",무덤 앞을 떠올려 보세요.,Think of the sisters who served Jesus.,3,gospel
Q032,예수님을 세 번 부인한 제자는?,Who was the lead disciple and fisherman?,"베드로|베드로가,Peter",닭 우는 소리를 떠올려 보세요.,Think of the sea where he cast the nets.,2,gospel
