item_id,unity_item_name,display_name_ko,tooltip_key,tooltip_value_ko,tooltip_value_en,tooltip_value_ja,source_area,source_evidence,asset_path,apply_status
1,Bottle,불투명한 병,획득 장소,현관/중앙홀의 화분 안,Inside the flowerpot in the Main Hall,,1층 현관/중앙홀,화분 안에서 병을 획득한다.,Assets/godlotto/Item/Bottle.asset,적용
1,Bottle,불투명한 병,사용처,주방 싱크대에서 물을 채운다,Fill it with water at the kitchen sink,,1층 주방,주방에서 병을 사용해 물을 채우는 흐름.,Assets/godlotto/Item/Bottle.asset,적용
1,Bottle,불투명한 병,진행 단서,물과 관련된 장치나 장소를 확인한다,Check a water-related mechanism or location,,1층 주방,병 획득 후 물병 힌트가 활성화된다.,Assets/godlotto/Item/Bottle.asset,적용
2,Food,썩은 육포,획득 장소,가정부 방에서 얻는다,Obtained in the Maid's Room,,가정부 방,가정부 일기와 육포 단서가 연결된다.,Assets/godlotto/Item/Food.asset,적용
2,Food,썩은 육포,사용처,주방에서 구우면 체셔가 반응한다,Roast this in the kitchen to get a reaction from Cheshire,,1층 주방,썩은 육포를 굽자 체셔가 날아와 먹고 수수께끼를 말한다.,Assets/godlotto/Item/Food.asset,적용
2,Food,썩은 육포,진행 단서,체셔를 부르는 냄새가 난다,It gives off a smell that attracts Cheshire,,가정부 방/주방,아들은 체셔가 육포 냄새를 좋아한다는 사실을 남긴다.,Assets/godlotto/Item/Food.asset,적용
3,Wood,나무 조각,획득 장소,아들의 방 침대 아래 숨겨진 공간,A hidden space under the bed in the Son's Room,,아들의 방,장치 작동 후 침대 아래에서 나무조각을 발견한다.,Assets/godlotto/Item/Wood.asset,적용
3,Wood,나무 조각,사용처,후반 의식 퍼즐에 필요한 조각,A piece required for the late-game ritual puzzle,,아들의 방,감옥으로 향하기 전 확보해야 하는 핵심 조각.,Assets/godlotto/Item/Wood.asset,적용
4,FilterCard,아크릴 카드,획득 장소,서재 공책의 마지막 부분,The last page of the notebook in the Study,,서재,공책 마지막에는 열쇠와 또 다른 알파벳 카드가 있다.,Assets/godlotto/Item/FilterCard.asset,적용
4,FilterCard,아크릴 카드,사용처,책장 단서 위에 겹쳐 숨은 위치를 찾는다,Overlay it on the bookshelf clue to find the hidden location,,서재,카드에 아크릴 판을 대면 특정 책을 가리킨다.,Assets/godlotto/Item/FilterCard.asset,적용
4,FilterCard,아크릴 카드,진행 단서,가리키는 책을 뽑아 숨겨진 버튼을 찾는다,Pull out the indicated book to reveal a hidden button,,서재,책을 뽑자 숨겨진 버튼이 나온다.,Assets/godlotto/Item/FilterCard.asset,적용
17,BookmarkMirror,책갈피 거울,획득 장소,메이드 방 퍼즐 책,The puzzle book in the Maid's Room,,가정부 방,퍼즐 책 첫 페이지에서 획득한다.,Assets/godlotto/Item/BookmarkMirror.asset,적용
17,BookmarkMirror,책갈피 거울,사용처,서재의 반쪽 숫자 단서 위에 올려 숨은 비밀번호를 확인한다,Place it over the half-number clue in the Study to reveal the hidden password,,,,,
17,BookmarkMirror,책갈피 거울,설명,낡은 책갈피처럼 생긴 작은 거울. 어두운 유리면에 가려진 숫자가 비친다.,A small mirror resembling an old bookmark. Hidden numbers are reflected on its dark glass surface.,,가정부 방/서재,메이드 방 퍼즐 책과 서재 다이어리 퍼즐을 연결한다.,Assets/godlotto/Item/BookmarkMirror.asset,적용
5,HolyGrail,성배,획득 장소,안주인의 방 금고 안,Inside the safe in the Mistress's Room,,안주인의 방,금고 안에는 성배와 감옥 열쇠가 있다.,Assets/godlotto/Item/HolyGrail.asset,적용
5,HolyGrail,성배,사용처,지하 감옥으로 내려가기 전 챙겨야 한다,Must be acquired before heading down to the Dungeon,,안주인의 방/지하,금고가 열리면 성배와 열쇠를 챙겨 지하로 향한다.,Assets/godlotto/Item/HolyGrail.asset,적용
6,TutorRoomKey,공부방 열쇠,획득 장소,아들의 방 진입 전 체셔 수수께끼 보상,Reward for solving Cheshire's riddle before entering the Son's Room,,,,,
6,TutorRoomKey,공부방 열쇠,사용처,2층 공부방 문을 연다,Opens the Tutor Room on the 2nd floor,,공부방 입구,새 열쇠로 공부방을 연다.,Assets/godlotto/Item/TutorRoomKey.asset,적용
7,WifeRoomKey,안주인의 방 열쇠,획득 장소,공부방 퍼즐 진행 후 획득,Obtained after completing the Tutor Room puzzle,,공부방,공부방 단서 진행 이후 안주인의 방으로 향한다.,Assets/godlotto/Item/WifeRoomKey.asset,적용
7,WifeRoomKey,안주인의 방 열쇠,사용처,2층 안주인의 방 문을 연다,Opens the Mistress's Room on the 2nd floor,,안주인의 방 입구,새 열쇠로 안주인의 방을 연다.,Assets/godlotto/Item/WifeRoomKey.asset,적용
8,MaidRoom_Key,가정부 방 열쇠,획득 장소,초반 1층 탐색 중 획득,Obtained during the early exploration of the 1st floor,,1층,가정부 방 탐색으로 육포와 일기 단서가 이어진다.,Assets/godlotto/Item/MaidRoom_Key.asset,적용
8,MaidRoom_Key,가정부 방 열쇠,사용처,1층 가정부 방 문을 연다,Opens the Maid's Room on the 1st floor,,가정부 방 입구,가정부 방 진입에 필요한 열쇠.,Assets/godlotto/Item/MaidRoom_Key.asset,적용
9,StudyRoomKey,서재 열쇠,획득 장소,주방 요리책 자물쇠 보상,Reward from the kitchen cookbook lock,,1층 주방,요리책 카레 페이지 18~19쪽을 이용해 1819를 입력한다.,Assets/godlotto/Item/StudyRoomKey.asset,적용
9,StudyRoomKey,서재 열쇠,사용처,맞은편 서재 문을 연다,Opens the Study across the hall,,서재 입구,새 열쇠로 맞은편 서재를 연다.,Assets/godlotto/Item/StudyRoomKey.asset,적용
10,BedRoomKey,침실 열쇠,획득 장소,중반 방 탐색 보상,Reward obtained during mid-game room exploration,,2층,안주인의 방과 침실 계열 진행에 연결된다.,Assets/godlotto/Item/BedRoomKey.asset,적용
10,BedRoomKey,침실 열쇠,사용처,침실 문을 연다,Opens the Bedroom door,,침실 입구,잠긴 침실 진입용 열쇠.,Assets/godlotto/Item/BedRoomKey.asset,적용
11,ChildRoomKey,아들의 방 열쇠,획득 장소,안주인의 방 서랍 안,Inside the drawer in the Mistress's Room,,안주인의 방,서랍 안에는 안주인의 일기와 무딘 날붙이와 열쇠가 있다.,Assets/godlotto/Item/ChildRoomKey.asset,적용
11,ChildRoomKey,아들의 방 열쇠,사용처,2층 아들의 방 문을 연다,Opens the Son's Room on the 2nd floor,,아들의 방 입구,새 열쇠로 아들의 방을 연다.,Assets/godlotto/Item/ChildRoomKey.asset,적용
12,BasementKey,지하실 열쇠,획득 장소,지하 감옥 책상 위,On the desk in the Dungeon,,지하 감옥,책상에는 쪽지와 지하실 열쇠가 놓여 있다.,Assets/godlotto/Item/BasementKey.asset,적용
12,BasementKey,지하실 열쇠,사용처,지하실로 이어지는 문을 연다,Opens the door leading to the Basement,,지하,지하 감옥 이후 다음 구역으로 이어진다.,Assets/godlotto/Item/BasementKey.asset,적용
13,PrisonKey,감옥 열쇠,획득 장소,안주인의 방 금고 안,Inside the safe in the Mistress's Room,,안주인의 방,금고 안에는 성배와 감옥 열쇠가 있다.,Assets/godlotto/Item/PrisonKey.asset,적용
13,PrisonKey,감옥 열쇠,사용처,서재 숨겨진 계단 아래 감옥으로 내려간다,Leads down to the Dungeon beneath the hidden stairs in the Study,,,,,
14,5th seal,다섯 번째 인장,획득 장소,아들의 방 인장 퍼즐 진행 중 획득,Obtained during the seal puzzle in the Son's Room,,아들의 방,칠각형 인장 퍼즐에 쓰이는 인장 중 하나.,Assets/godlotto/Item/5th seal.asset,적용
14,5th seal,다섯 번째 인장,사용처,아들의 방 칠각형 표식의 알맞은 위치에 배치한다,Place it in the correct position on the heptagon mark in the Son's Room,,,,,
15,6th seal,여섯 번째 인장,획득 장소,아들의 방 인장 퍼즐 진행 중 획득,Obtained during the seal puzzle in the Son's Room,,아들의 방,칠각형 인장 퍼즐에 쓰이는 인장 중 하나.,Assets/godlotto/Item/6th seal.asset,적용
15,6th seal,여섯 번째 인장,사용처,아들의 방 칠각형 표식의 알맞은 위치에 배치한다,Place it in the correct position on the heptagon mark in the Son's Room,,,,,
16,7th seal,일곱 번째 인장,획득 장소,아들의 방 인장 퍼즐 진행 중 획득,Obtained during the seal puzzle in the Son's Room,,아들의 방,칠각형 인장 퍼즐에 쓰이는 마지막 인장.,Assets/godlotto/Item/7th seal.asset,적용
16,7th seal,일곱 번째 인장,사용처,아들의 방 칠각형 표식의 알맞은 위치에 배치한다,Place it in the correct position on the heptagon mark in the Son's Room,,,,,
