question_id,question_ko
Q001,십자가에 달리신 분은?
Q002,다윗이 이긴 거인 이름은?
Q003,이스라엘을 애굽에서 이끈 인물은?
Q004,잃어버린 것을 찾는 비유에 나온 동물은?
Q005,부활 후 제자들이 만난 빈 장소는?
Q006,하나님이 세상을 창조하실 때 첫째 날 만드신 것은?
Q007,방주를 만든 인물은?
Q008,믿음의 조상이라 불리는 인물은?
Q009,아브라함이 100세에 얻은 아들은?
Q010,야곱이 형을 피해 도망치다 꿈에서 본 것은?
Q011,요셉의 아버지는 누구인가요?
Q012,애굽의 총리가 된 인물은?
Q013,모세가 십계명을 받은 산은?
Q014,광야에서 먹은 하늘의 양식은?
Q015,여리고성을 무너뜨린 지도자는?
Q016,힘이 센 사사의 이름은?
Q017,나오미의 며느리이자 다윗의 증조할머니는?
Q018,어머니 한나의 기도로 태어난 선지자는?
Q019,이스라엘의 초대 왕은?
Q020,다윗이 왕이 되기 전 직업은?
Q021,성전을 건축한 지혜의 왕은?
Q022,불 수레를 타고 승천한 선지자는?
Q023,사자굴에서 살아남은 선지자는?
Q024,물고기 뱃속에서 3일 보낸 선지자는?
Q025,성벽 재건의 지도자는?
Q026,예수님이 탄생하신 동네는?
Q027,예수님이 세례받은 강은?
Q028,예수님이 행하신 첫 기적은?
Q029,보리떡 5개와 물고기 2마리로 먹인 인원은?
Q030,물 위를 걸으신 분은?
Q031,죽었다가 다시 살아난 나사로의 누나는?
Q032,예수님을 세 번 부인한 제자는?
Q033,예수님을 판 제자는?
Q034,예수님이 부활하신 날은?
Q035,예수님이 승천 후 제자들에게 보내주신 분은?
Q036,최초의 순교자는?
Q037,다메섹에서 예수님을 만난 사도는?
Q038,사도 바울이 사랑을 노래한 장은?
Q039,성경의 마지막 책은?
Q040,성경에서 가장 긴 장은?
Q041,노아의 방주에 탄 식구는 몇 명?
Q042,이삭의 부인 이름은?
Q043,야곱의 열두 아들 중 가장 사랑받은 아들은?
Q044,십계명 중 1계명은?
Q045,놋뱀을 만든 인물은?
Q046,이스라엘의 마지막 사사는?
Q047,골리앗을 이긴 물맷돌은 몇 개인가요?
Q048,예수님이 광야에서 받은 유혹은 몇 가지?
Q049,산상수훈에서 강조한 마음은?
Q050,성령 강림 때 모인 장소는?
Q051,예수님이 고향 나사렛에서 배척받으신 이유는?
Q052,예수님이 제자들의 발을 씻겨주신 이유는?
Q053,다윗이 밧세바를 범한 후 회개하며 지은 시는?
Q054,출애굽기에서 열 번째 재앙은 무엇인가요?
Q055,예수님이 산 위에서 얼굴이 해같이 빛나신 사건은?
Q056,사도 바울이 쓴 서신서 중 가장 먼저 쓰인 것은?
Q057,하나님이 아브라함에게 명하신 할례의 상징은?
Q058,야곱이 하나님과 씨름하여 얻은 이름은?
Q059,베드로가 물고기를 잡지 못하다 그물을 내려 많이 잡은 곳은?
Q060,엘리사가 엘리야로부터 받은 능력의 배는?
Q061,예수님이 비유로 말씀하신 씨 뿌리는 자의 네 가지 땅은?
Q062,다윗이 성전을 지으려 했으나 허락받지 못한 이유는?
Q063,출애굽 당시 이스라엘 백성이 홍해를 건넌 후 부른 노래는?
Q064,예수님이 겟세마네 동산에서 드린 기도의 내용은?
Q065,바울이 옥중에서 쓴 서신을 통칭하여 무엇이라 하나요?
Q066,하나님이 사무엘에게 다윗을 왕으로 기름 부으러 보낸 곳은?
Q067,예수님이 나사로를 살리실 때 하신 말씀은?
Q068,사도행전에서 성령 강림 후 제자들이 말한 것은?
Q069,여호수아가 태양을 멈추게 한 곳은?
Q070,예수님이 가르치신 주기도문의 시작은?
Q071,다니엘의 세 친구가 들어간 곳은?
Q072,예수님이 비유로 말씀하신 선한 사마리아인은 누구를 도왔나요?
Q073,하나님이 아브라함에게 제물로 바치라고 한 산은?
Q074,예수님이 가나 혼인 잔치에서 물을 무엇으로 바꾸셨나요?
Q075,사도 바울이 쓴 서신 중 교회와 성도의 관계를 몸으로 표현한 책은?
Q076,솔로몬이 하나님께 구한 것은?
Q077,예수님이 십자가에서 마지막으로 하신 말씀 중 하나는?
Q078,베드로가 처음으로 이방인에게 세례를 준 사람은?
Q079,하나님이 노아에게 무지개를 통해 하신 약속은?
Q080,예수님이 제자들에게 마지막으로 하신 명령은?
